,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value,Captain 
20849,Michael Ogungbaro,23 Years,"Jul 10, 1996 ",Nigeria,Midfielder,NK Bravo,25,€100k,-
20850,Aleksander Palamar,20 Years,"Jun 29, 1999 ",Slovenia,Midfielder,NK Bravo,-,€75k,-
20851,Gal Primc,23 Years,"Sep 15, 1996 ",Slovenia,Midfielder,NK Bravo,6,€200k,-
20852,Sandi Ogrinec,21 Years,"Jun 5, 1998 ",Slovenia,Midfielder,NK Bravo,26,€175k,-
20853,Andraz Kirm,35 Years,"Sep 6, 1984 ",Slovenia,Midfielder,NK Bravo,17,€25k,-
20854,Martin Kramaric,22 Years,"Nov 14, 1997 ",Slovenia,Forward,NK Bravo,9,€350k,-
20855,Ibrahim Mensah,25 Years,"Jan 11, 1995 ",Ghana,Forward,NK Bravo,18,€200k,-
20856,Miha Kancilija,19 Years,"Apr 4, 2001 ",Slovenia,Forward,NK Bravo,21,€50k,-
20857,Aljosa Matko,20 Years,"Mar 29, 2000 ",Slovenia,Forward,NK Bravo,27,€150k,-
20858,Besart Abdurahimi,29 Years,"Jul 31, 1990 ",North Macedonia,Forward,NK Bravo,7,€100k,-
20859,Mustafa Nukic,29 Years,"Dec 3, 1990 ",Slovenia,Forward,NK Bravo,10,€175k,-
20860,Roko Baturina,19 Years,"Jun 20, 2000 ",Croatia,Forward,NK Bravo,11,€150k,-
20861,Thibaut Courtois,27 Years,"May 11, 1992 ",Belgium,Goalkeeper,Real Madrid,13,€60.00m,-
20862,Alphonse Areola,27 Years,"Feb 27, 1993 ",France,Goalkeeper,Real Madrid,1,€16.00m,-
20863,Raphaël Varane,26 Years,"Apr 25, 1993 ",France,Defender,Real Madrid,5,€80.00m,-
20864,Éder Militão,22 Years,"Jan 18, 1998 ",Brazil,Defender,Real Madrid,3,€40.00m,-
20865,Sergio Ramos,34 Years,"Mar 30, 1986 ",Spain,Defender,Real Madrid,4,€18.00m,Team captain
20866,Nacho Fernández,30 Years,"Jan 18, 1990 ",Spain,Defender,Real Madrid,6,€15.00m,-
20867,Ferland Mendy,24 Years,"Jun 8, 1995 ",France,Defender,Real Madrid,23,€40.00m,-
20868,Marcelo,31 Years,"May 12, 1988 ",Brazil,Defender,Real Madrid,12,€20.00m,-
20869,Daniel Carvajal,28 Years,"Jan 11, 1992 ",Spain,Defender,Real Madrid,2,€50.00m,-
20870,Casemiro,28 Years,"Feb 23, 1992 ",Brazil,Midfielder,Real Madrid,14,€80.00m,-
20871,Toni Kroos,30 Years,"Jan 4, 1990 ",Germany,Midfielder,Real Madrid,8,€60.00m,-
20872,Federico Valverde,21 Years,"Jul 22, 1998 ",Uruguay,Midfielder,Real Madrid,15,€60.00m,-
20873,Luka Modric,34 Years,"Sep 9, 1985 ",Croatia,Midfielder,Real Madrid,10,€15.00m,-
20874,Isco,27 Years,"Apr 21, 1992 ",Spain,Midfielder,Real Madrid,22,€50.00m,-
20875,James Rodríguez,28 Years,"Jul 12, 1991 ",Colombia,Midfielder,Real Madrid,16,€40.00m,-
20876,Reinier,18 Years,"Jan 19, 2002 ",Brazil,Midfielder,Real Madrid,30,€25.00m,-
20877,Brahim Díaz,20 Years,"Aug 3, 1999 ",Spain,Midfielder,Real Madrid,21,€15.00m,-
20878,Eden Hazard,29 Years,"Jan 7, 1991 ",Belgium,Forward,Real Madrid,7,€100.00m,-
20879,Vinícius Júnior,19 Years,"Jul 12, 2000 ",Brazil,Forward,Real Madrid,25,€50.00m,-
20880,Marco Asensio,24 Years,"Jan 21, 1996 ",Spain,Forward,Real Madrid,20,€40.00m,-
20881,Rodrygo,19 Years,"Jan 9, 2001 ",Brazil,Forward,Real Madrid,27,€50.00m,-
20882,Gareth Bale,30 Years,"Jul 16, 1989 ",Wales,Forward,Real Madrid,11,€40.00m,-
20883,Lucas Vázquez,28 Years,"Jul 1, 1991 ",Spain,Forward,Real Madrid,17,€20.00m,-
20884,Karim Benzema,32 Years,"Dec 19, 1987 ",France,Forward,Real Madrid,9,€40.00m,-
20885,Luka Jovic,22 Years,"Dec 23, 1997 ",Serbia,Forward,Real Madrid,18,€40.00m,-
20886,Mariano Díaz,26 Years,"Aug 1, 1993 ",Dominican Republic,Forward,Real Madrid,24,€16.00m,-
20887,Marc-André ter Stegen,27 Years,"Apr 30, 1992 ",Germany,Goalkeeper,FC Barcelona,1,€90.00m,-
20888,Neto,30 Years,"Jul 19, 1989 ",Brazil,Goalkeeper,FC Barcelona,13,€18.00m,-
20889,Clément Lenglet,24 Years,"Jun 17, 1995 ",France,Defender,FC Barcelona,15,€60.00m,-
20890,Samuel Umtiti,26 Years,"Nov 14, 1993 ",France,Defender,FC Barcelona,23,€40.00m,-
20891,Gerard Piqué,33 Years,"Feb 2, 1987 ",Spain,Defender,FC Barcelona,3,€25.00m,-
20892,Jordi Alba,31 Years,"Mar 21, 1989 ",Spain,Defender,FC Barcelona,18,€50.00m,-
20893,Júnior Firpo,23 Years,"Aug 22, 1996 ",Spain,Defender,FC Barcelona,24,€25.00m,-
20894,Sergi Roberto,28 Years,"Feb 7, 1992 ",Spain,Defender,FC Barcelona,20,€50.00m,-
20895,Nélson Semedo,26 Years,"Nov 16, 1993 ",Portugal,Defender,FC Barcelona,2,€40.00m,-
20896,Sergio Busquets,31 Years,"Jul 16, 1988 ",Spain,Midfielder,FC Barcelona,5,€35.00m,-
20897,Frenkie de Jong,22 Years,"May 12, 1997 ",Netherlands,Midfielder,FC Barcelona,21,€90.00m,-
20898,Arthur,23 Years,"Aug 12, 1996 ",Brazil,Midfielder,FC Barcelona,8,€70.00m,-
20899,Ivan Rakitic,32 Years,"Mar 10, 1988 ",Croatia,Midfielder,FC Barcelona,4,€25.00m,-
20900,Arturo Vidal,32 Years,"May 22, 1987 ",Chile,Midfielder,FC Barcelona,22,€14.00m,-
20901,Riqui Puig,20 Years,"Aug 13, 1999 ",Spain,Midfielder,FC Barcelona,28,€10.00m,-
20902,Antoine Griezmann,29 Years,"Mar 21, 1991 ",France,Forward,FC Barcelona,17,€120.00m,-
20903,Ansu Fati,17 Years,"Oct 31, 2002 ",Spain,Forward,FC Barcelona,31,€40.00m,-
20904,Arda Turan,33 Years,"Jan 30, 1987 ",Turkey,Forward,FC Barcelona,-,€800k,-
20905,Lionel Messi,32 Years,"Jun 24, 1987 ",Argentina,Forward,FC Barcelona,10,€140.00m,Team captain
20906,Ousmane Dembélé,22 Years,"May 15, 1997 ",France,Forward,FC Barcelona,11,€70.00m,-
20907,Luis Suárez,33 Years,"Jan 24, 1987 ",Uruguay,Forward,FC Barcelona,9,€35.00m,-
20908,Martin Braithwaite,28 Years,"Jun 5, 1991 ",Denmark,Forward,FC Barcelona,19,€12.00m,-
20909,Jan Oblak,27 Years,"Jan 7, 1993 ",Slovenia,Goalkeeper,Atlético Madrid,13,€100.00m,-
20910,Antonio Adán,32 Years,"May 13, 1987 ",Spain,Goalkeeper,Atlético Madrid,1,€1.00m,-
20911,José Giménez,25 Years,"Jan 20, 1995 ",Uruguay,Defender,Atlético Madrid,2,€70.00m,-
20912,Stefan Savic,29 Years,"Jan 8, 1991 ",Montenegro,Defender,Atlético Madrid,15,€32.00m,-
20913,Felipe,30 Years,"May 16, 1989 ",Brazil,Defender,Atlético Madrid,18,€32.00m,-
20914,Mario Hermoso,24 Years,"Jun 18, 1995 ",Spain,Defender,Atlético Madrid,22,€25.00m,-
20915,Renan Lodi,22 Years,"Apr 8, 1998 ",Brazil,Defender,Atlético Madrid,12,€35.00m,-
20916,Kieran Trippier,29 Years,"Sep 19, 1990 ",England,Defender,Atlético Madrid,23,€35.00m,-
20917,Santiago Arias,28 Years,"Jan 13, 1992 ",Colombia,Defender,Atlético Madrid,4,€15.00m,-
20918,Sime Vrsaljko,28 Years,"Jan 10, 1992 ",Croatia,Defender,Atlético Madrid,24,€15.00m,-
20919,Thomas,26 Years,"Jun 13, 1993 ",Ghana,Midfielder,Atlético Madrid,5,€50.00m,-
20920,Marcos Llorente,25 Years,"Jan 30, 1995 ",Spain,Midfielder,Atlético Madrid,14,€20.00m,-
20921,Saúl Ñíguez,25 Years,"Nov 21, 1994 ",Spain,Midfielder,Atlético Madrid,8,€90.00m,-
20922,Koke,28 Years,"Jan 8, 1992 ",Spain,Midfielder,Atlético Madrid,6,€60.00m,Team captain
20923,Héctor Herrera,29 Years,"Apr 19, 1990 ",Mexico,Midfielder,Atlético Madrid,16,€20.00m,-
20924,Thomas Lemar,24 Years,"Nov 12, 1995 ",France,Forward,Atlético Madrid,11,€30.00m,-
20925,Yannick Carrasco,26 Years,"Sep 4, 1993 ",Belgium,Forward,Atlético Madrid,21,€28.00m,-
20926,Vitolo,30 Years,"Nov 2, 1989 ",Spain,Forward,Atlético Madrid,20,€18.00m,-
20927,Ángel Correa,25 Years,"Mar 9, 1995 ",Argentina,Forward,Atlético Madrid,10,€40.00m,-
20928,João Félix,20 Years,"Nov 10, 1999 ",Portugal,Forward,Atlético Madrid,7,€90.00m,-
20929,Álvaro Morata,27 Years,"Oct 23, 1992 ",Spain,Forward,Atlético Madrid,9,€45.00m,-
20930,Diego Costa,31 Years,"Oct 7, 1988 ",Spain,Forward,Atlético Madrid,19,€18.00m,-
20931,Ivan Saponjic,22 Years,"Aug 2, 1997 ",Serbia,Forward,Atlético Madrid,17,€1.50m,-
20932,Jasper Cillessen,30 Years,"Apr 22, 1989 ",Netherlands,Goalkeeper,Valencia CF,13,€18.00m,-
20933,Jaume Doménech,29 Years,"Nov 5, 1990 ",Spain,Goalkeeper,Valencia CF,1,€7.50m,-
20934,Gabriel Paulista,29 Years,"Nov 26, 1990 ",Brazil,Defender,Valencia CF,5,€22.00m,-
20935,Mouctar Diakhaby,23 Years,"Dec 19, 1996 ",France,Defender,Valencia CF,12,€22.00m,-
20936,Eliaquim Mangala,29 Years,"Feb 13, 1991 ",France,Defender,Valencia CF,4,€7.50m,-
20937,Ezequiel Garay,33 Years,"Oct 10, 1986 ",Argentina,Defender,Valencia CF,24,€6.00m,-
20938,José Gayà,24 Years,"May 25, 1995 ",Spain,Defender,Valencia CF,14,€50.00m,-
20939,Jaume Costa,32 Years,"Mar 18, 1988 ",Spain,Defender,Valencia CF,3,€4.00m,-
20940,Alessandro Florenzi,29 Years,"Mar 11, 1991 ",Italy,Defender,Valencia CF,25,€20.00m,-
20941,Daniel Wass,30 Years,"May 31, 1989 ",Denmark,Defender,Valencia CF,18,€14.00m,-
20942,Cristiano Piccini,27 Years,"Sep 26, 1992 ",Italy,Defender,Valencia CF,21,€7.50m,-
20943,Thierry Correia,21 Years,"Mar 9, 1999 ",Portugal,Defender,Valencia CF,2,€3.00m,-
20944,Francis Coquelin,28 Years,"May 13, 1991 ",France,Midfielder,Valencia CF,17,€24.00m,-
20945,Dani Parejo,30 Years,"Apr 16, 1989 ",Spain,Midfielder,Valencia CF,10,€35.00m,Team captain
20946,Geoffrey Kondogbia,27 Years,"Feb 15, 1993 ",Central African Republic,Midfielder,Valencia CF,6,€28.00m,-
20947,Carlos Soler,23 Years,"Jan 2, 1997 ",Spain,Midfielder,Valencia CF,8,€50.00m,-
20948,Kang-in Lee,19 Years,"Feb 19, 2001 ","Korea, South",Midfielder,Valencia CF,16,€15.00m,-
20949,Gonçalo Guedes,23 Years,"Nov 29, 1996 ",Portugal,Forward,Valencia CF,7,€28.00m,-
20950,Denis Cheryshev,29 Years,"Dec 26, 1990 ",Russia,Forward,Valencia CF,11,€6.00m,-
20951,Manu Vallejo,23 Years,"Feb 14, 1997 ",Spain,Forward,Valencia CF,15,€6.00m,-
20952,Ferran Torres,20 Years,"Feb 29, 2000 ",Spain,Forward,Valencia CF,20,€50.00m,-
20953,Rodrigo,29 Years,"Mar 6, 1991 ",Spain,Forward,Valencia CF,19,€50.00m,-
20954,Maxi Gómez,23 Years,"Aug 14, 1996 ",Uruguay,Forward,Valencia CF,22,€40.00m,-
20955,Kévin Gameiro,32 Years,"May 9, 1987 ",France,Forward,Valencia CF,9,€8.00m,-
20956,Rubén Sobrino,27 Years,"Jun 1, 1992 ",Spain,Forward,Valencia CF,23,€3.00m,-
20957,Alex Remiro,25 Years,"Mar 24, 1995 ",Spain,Goalkeeper,Real Sociedad,1,€15.00m,-
20958,Miguel Ángel Moyà,36 Years,"Apr 2, 1984 ",Spain,Goalkeeper,Real Sociedad,13,€1.50m,-
20959,Diego Llorente,26 Years,"Aug 16, 1993 ",Spain,Defender,Real Sociedad,3,€25.00m,-
20960,Robin Le Normand,23 Years,"Nov 11, 1996 ",France,Defender,Real Sociedad,24,€15.00m,-
20961,Aritz Elustondo,26 Years,"Mar 28, 1994 ",Spain,Defender,Real Sociedad,6,€10.00m,-
20962,Aihen Muñoz,22 Years,"Aug 16, 1997 ",Spain,Defender,Real Sociedad,12,€5.00m,-
20963,Nacho Monreal,34 Years,"Feb 26, 1986 ",Spain,Defender,Real Sociedad,20,€4.00m,-
20964,Joseba Zaldua,27 Years,"Jun 24, 1992 ",Spain,Defender,Real Sociedad,2,€15.00m,-
20965,Andoni Gorosabel,23 Years,"Aug 4, 1996 ",Spain,Defender,Real Sociedad,18,€2.00m,-
20966,Igor Zubeldia,23 Years,"Mar 30, 1997 ",Spain,Midfielder,Real Sociedad,5,€30.00m,-
20967,Asier Illarramendi,30 Years,"Mar 8, 1990 ",Spain,Midfielder,Real Sociedad,4,€18.00m,Team captain
20968,Mikel Merino,23 Years,"Jun 22, 1996 ",Spain,Midfielder,Real Sociedad,8,€30.00m,-
20969,Ander Guevara,22 Years,"Jul 7, 1997 ",Spain,Midfielder,Real Sociedad,16,€7.50m,-
20970,David Zurutuza,33 Years,"Jul 19, 1986 ",Spain,Midfielder,Real Sociedad,17,€2.00m,-
20971,Martin Ödegaard,21 Years,"Dec 17, 1998 ",Norway,Midfielder,Real Sociedad,21,€50.00m,-
20972,Luca Sangalli,25 Years,"Feb 10, 1995 ",Spain,Midfielder,Real Sociedad,23,€3.00m,-
20973,Mikel Oyarzabal,22 Years,"Apr 21, 1997 ",Spain,Forward,Real Sociedad,10,€60.00m,-
20974,Ander Barrenetxea,18 Years,"Dec 27, 2001 ",Spain,Forward,Real Sociedad,22,€10.00m,-
20975,Portu,27 Years,"May 21, 1992 ",Spain,Forward,Real Sociedad,7,€20.00m,-
20976,Adnan Januzaj,25 Years,"Feb 5, 1995 ",Belgium,Forward,Real Sociedad,11,€12.00m,-
20977,Willian José,28 Years,"Nov 23, 1991 ",Brazil,Forward,Real Sociedad,9,€30.00m,-
20978,Alexander Isak,20 Years,"Sep 21, 1999 ",Sweden,Forward,Real Sociedad,19,€25.00m,-
20979,Tomas Vaclik,31 Years,"Mar 29, 1989 ",Czech Republic,Goalkeeper,Sevilla FC,1,€18.00m,-
20980,Bono,29 Years,"Apr 5, 1991 ",Morocco,Goalkeeper,Sevilla FC,13,€5.00m,-
20981,Javi Díaz,22 Years,"May 15, 1997 ",Spain,Goalkeeper,Sevilla FC,31,€500k,-
20982,Diego Carlos,27 Years,"Mar 15, 1993 ",Brazil,Defender,Sevilla FC,20,€40.00m,-
20983,Jules Koundé,21 Years,"Nov 12, 1998 ",France,Defender,Sevilla FC,12,€25.00m,-
20984,Sergi Gómez,28 Years,"Mar 28, 1992 ",Spain,Defender,Sevilla FC,3,€5.00m,-
20985,Sergio Reguilón,23 Years,"Dec 16, 1996 ",Spain,Defender,Sevilla FC,23,€25.00m,-
20986,Sergio Escudero,30 Years,"Sep 2, 1989 ",Spain,Defender,Sevilla FC,18,€6.00m,-
20987,Jesús Navas,34 Years,"Nov 21, 1985 ",Spain,Defender,Sevilla FC,16,€4.00m,Team captain
20988,Fernando,32 Years,"Jul 25, 1987 ",Brazil,Midfielder,Sevilla FC,25,€10.00m,-
20989,Nemanja Gudelj,28 Years,"Nov 16, 1991 ",Serbia,Midfielder,Sevilla FC,17,€7.00m,-
20990,Joan Jordán,25 Years,"Jul 6, 1994 ",Spain,Midfielder,Sevilla FC,24,€18.00m,-
20991,Óliver Torres,25 Years,"Nov 10, 1994 ",Spain,Midfielder,Sevilla FC,21,€17.00m,-
20992,Éver Banega,31 Years,"Jun 29, 1988 ",Argentina,Midfielder,Sevilla FC,10,€9.00m,-
20993,Franco Vázquez,31 Years,"Feb 22, 1989 ",Argentina,Midfielder,Sevilla FC,22,€12.00m,-
20994,Nolito,33 Years,"Oct 15, 1986 ",Spain,Forward,Sevilla FC,8,€2.00m,-
20995,Lucas Ocampos,25 Years,"Jul 11, 1994 ",Argentina,Forward,Sevilla FC,5,€40.00m,-
20996,Suso,26 Years,"Nov 19, 1993 ",Spain,Forward,Sevilla FC,14,€22.00m,-
20997,Rony Lopes,24 Years,"Dec 28, 1995 ",Portugal,Forward,Sevilla FC,7,€12.50m,-
20998,Youssef En-Nesyri,22 Years,"Jun 1, 1997 ",Morocco,Forward,Sevilla FC,15,€15.00m,-
20999,Luuk de Jong,29 Years,"Aug 27, 1990 ",Netherlands,Forward,Sevilla FC,19,€12.00m,-
21000,Munir El Haddadi,24 Years,"Sep 1, 1995 ",Spain,Forward,Sevilla FC,11,€11.00m,-
21001,Joel Robles,29 Years,"Jun 17, 1990 ",Spain,Goalkeeper,Real Betis Balompié,1,€7.50m,-
21002,Dani Martín,21 Years,"Jul 8, 1998 ",Spain,Goalkeeper,Real Betis Balompié,13,€3.00m,-
21003,Marc Bartra,29 Years,"Jan 15, 1991 ",Spain,Defender,Real Betis Balompié,5,€22.00m,-
21004,Aïssa Mandi,28 Years,"Oct 22, 1991 ",Algeria,Defender,Real Betis Balompié,23,€20.00m,-
21005,Sidnei,30 Years,"Aug 23, 1989 ",Brazil,Defender,Real Betis Balompié,12,€10.00m,-
21006,Zouhair Feddal,30 Years,"Dec 23, 1989 ",Morocco,Defender,Real Betis Balompié,4,€5.00m,-
21007,Alfonso Pedraza,23 Years,"Apr 9, 1996 ",Spain,Defender,Real Betis Balompié,6,€12.00m,-
21008,Álex Moreno,26 Years,"Jun 8, 1993 ",Spain,Defender,Real Betis Balompié,15,€7.00m,-
21009,Emerson,21 Years,"Jan 14, 1999 ",Brazil,Defender,Real Betis Balompié,22,€20.00m,-
21010,Antonio Barragán,32 Years,"Jun 12, 1987 ",Spain,Defender,Real Betis Balompié,19,€2.00m,-
21011,William Carvalho,28 Years,"Apr 7, 1992 ",Portugal,Midfielder,Real Betis Balompié,14,€20.00m,-
21012,Guido Rodríguez,25 Years,"Apr 12, 1994 ",Argentina,Midfielder,Real Betis Balompié,21,€10.00m,-
21013,Javi García,33 Years,"Feb 8, 1987 ",Spain,Midfielder,Real Betis Balompié,3,€2.00m,-
21014,Edgar González,23 Years,"Apr 1, 1997 ",Spain,Midfielder,Real Betis Balompié,32,€1.00m,-
21015,Carles Aleñá,22 Years,"Jan 5, 1998 ",Spain,Midfielder,Real Betis Balompié,24,€20.00m,-
21016,Andrés Guardado,33 Years,"Sep 28, 1986 ",Mexico,Midfielder,Real Betis Balompié,18,€4.00m,-
21017,Nabil Fekir,26 Years,"Jul 18, 1993 ",France,Midfielder,Real Betis Balompié,8,€40.00m,-
21018,Sergio Canales,29 Years,"Feb 16, 1991 ",Spain,Midfielder,Real Betis Balompié,10,€25.00m,-
21019,Diego Lainez,19 Years,"Jun 9, 2000 ",Mexico,Forward,Real Betis Balompié,20,€10.00m,-
21020,Cristian Tello,28 Years,"Aug 11, 1991 ",Spain,Forward,Real Betis Balompié,11,€6.00m,-
21021,Juanmi,26 Years,"May 20, 1993 ",Spain,Forward,Real Betis Balompié,7,€5.00m,-
21022,Joaquín,38 Years,"Jul 21, 1981 ",Spain,Forward,Real Betis Balompié,17,€2.00m,Team captain
21023,Loren Morón,26 Years,"Dec 30, 1993 ",Spain,Forward,Real Betis Balompié,16,€20.00m,-
21024,Borja Iglesias,27 Years,"Jan 17, 1993 ",Spain,Forward,Real Betis Balompié,9,€18.00m,-
21025,Unai Simón,22 Years,"Jun 11, 1997 ",Spain,Goalkeeper,Athletic Bilbao,1,€20.00m,-
21026,Iago Herrerín,32 Years,"Jan 25, 1988 ",Spain,Goalkeeper,Athletic Bilbao,13,€3.50m,-
21027,Iñigo Martínez,28 Years,"May 17, 1991 ",Spain,Defender,Athletic Bilbao,4,€32.00m,-
21028,Yeray Álvarez,25 Years,"Jan 24, 1995 ",Spain,Defender,Athletic Bilbao,5,€30.00m,-
21029,Unai Núñez,23 Years,"Jan 30, 1997 ",Spain,Defender,Athletic Bilbao,3,€20.00m,-
21030,Yuri Berchiche,30 Years,"Feb 10, 1990 ",Spain,Defender,Athletic Bilbao,17,€20.00m,-
21031,Mikel Balenziaga,32 Years,"Feb 29, 1988 ",Spain,Defender,Athletic Bilbao,24,€2.00m,-
21032,Ander Capa,28 Years,"Feb 8, 1992 ",Spain,Defender,Athletic Bilbao,21,€7.50m,-
21033,Óscar de Marcos,30 Years,"Apr 14, 1989 ",Spain,Defender,Athletic Bilbao,18,€4.00m,-
21034,Iñigo Lekue,26 Years,"May 4, 1993 ",Spain,Defender,Athletic Bilbao,15,€2.00m,-
21035,Mikel San José,30 Years,"May 30, 1989 ",Spain,Midfielder,Athletic Bilbao,6,€6.00m,-
21036,Mikel Vesga,27 Years,"Apr 8, 1993 ",Spain,Midfielder,Athletic Bilbao,16,€3.00m,-
21037,Dani García,29 Years,"May 24, 1990 ",Spain,Midfielder,Athletic Bilbao,14,€6.00m,-
21038,Beñat Etxebarria,33 Years,"Feb 19, 1987 ",Spain,Midfielder,Athletic Bilbao,7,€3.00m,-
21039,Unai López,24 Years,"Oct 30, 1995 ",Spain,Midfielder,Athletic Bilbao,8,€3.00m,-
21040,Raúl García,33 Years,"Jul 11, 1986 ",Spain,Midfielder,Athletic Bilbao,22,€7.50m,-
21041,Oihan Sancet,19 Years,"Apr 25, 2000 ",Spain,Midfielder,Athletic Bilbao,34,€2.50m,-
21042,Iker Muniain,27 Years,"Dec 19, 1992 ",Spain,Forward,Athletic Bilbao,10,€17.50m,Team captain
21043,Iñigo Córdoba,23 Years,"Mar 13, 1997 ",Spain,Forward,Athletic Bilbao,11,€4.00m,-
21044,Ibai Gómez,30 Years,"Nov 11, 1989 ",Spain,Forward,Athletic Bilbao,19,€4.00m,-
21045,Gaizka Larrazabal,22 Years,"Dec 17, 1997 ",Spain,Forward,Athletic Bilbao,12,€2.50m,-
21046,Iñaki Williams,25 Years,"Jun 15, 1994 ",Spain,Forward,Athletic Bilbao,9,€50.00m,-
21047,Asier Villalibre,22 Years,"Sep 30, 1997 ",Spain,Forward,Athletic Bilbao,25,€4.00m,-
21048,Aritz Aduriz,39 Years,"Feb 11, 1981 ",Spain,Forward,Athletic Bilbao,20,€1.00m,-
21049,Kenan Kodro,26 Years,"Aug 19, 1993 ",Bosnia-Herzegovina,Forward,Athletic Bilbao,23,€1.00m,-
21050,Sergio Asenjo,30 Years,"Jun 28, 1989 ",Spain,Goalkeeper,Villarreal CF,1,€12.00m,-
21051,Andrés Fernández,33 Years,"Dec 17, 1986 ",Spain,Goalkeeper,Villarreal CF,13,€1.00m,-
21052,Mariano Barbosa,35 Years,"Jul 27, 1984 ",Argentina,Goalkeeper,Villarreal CF,25,€300k,-
21053,Pau Torres,23 Years,"Jan 16, 1997 ",Spain,Defender,Villarreal CF,4,€20.00m,-
21054,Ramiro Funes Mori,29 Years,"Mar 5, 1991 ",Argentina,Defender,Villarreal CF,6,€6.00m,-
21055,Raúl Albiol,34 Years,"Sep 4, 1985 ",Spain,Defender,Villarreal CF,3,€4.00m,-
21056,Soufiane Chakla,26 Years,"Sep 2, 1993 ",Morocco,Defender,Villarreal CF,22,€1.00m,-
21057,Alberto Moreno,27 Years,"Jul 5, 1992 ",Spain,Defender,Villarreal CF,18,€7.50m,-
21058,Xavi Quintillà,23 Years,"Aug 23, 1996 ",Spain,Defender,Villarreal CF,16,€5.00m,-
21059,Rubén Peña,28 Years,"Jul 18, 1991 ",Spain,Defender,Villarreal CF,20,€8.00m,-
21060,Mario Gaspar,29 Years,"Nov 24, 1990 ",Spain,Defender,Villarreal CF,2,€7.50m,-
21061,André Zambo Anguissa,24 Years,"Nov 16, 1995 ",Cameroon,Midfielder,Villarreal CF,19,€25.00m,-
21062,Bruno Soriano,35 Years,"Jun 12, 1984 ",Spain,Midfielder,Villarreal CF,21,€600k,Team captain
21063,Manu Trigueros,28 Years,"Oct 17, 1991 ",Spain,Midfielder,Villarreal CF,14,€15.00m,-
21064,Vicente Iborra,32 Years,"Jan 16, 1988 ",Spain,Midfielder,Villarreal CF,10,€7.50m,-
21065,Santi Cazorla,35 Years,"Dec 13, 1984 ",Spain,Midfielder,Villarreal CF,8,€4.00m,-
21066,Manu Morlanes,21 Years,"Jan 12, 1999 ",Spain,Midfielder,Villarreal CF,15,€2.00m,-
21067,Javi Ontiveros,22 Years,"Sep 9, 1997 ",Spain,Forward,Villarreal CF,24,€9.00m,-
21068,Moi Gómez,25 Years,"Jun 23, 1994 ",Spain,Forward,Villarreal CF,23,€6.00m,-
21069,Samu Chukwueze,20 Years,"May 22, 1999 ",Nigeria,Forward,Villarreal CF,11,€30.00m,-
21070,Paco Alcácer,26 Years,"Aug 30, 1993 ",Spain,Forward,Villarreal CF,17,€35.00m,-
21071,Gerard Moreno,28 Years,"Apr 7, 1992 ",Spain,Forward,Villarreal CF,7,€20.00m,-
21072,Carlos Bacca,33 Years,"Sep 8, 1986 ",Colombia,Forward,Villarreal CF,9,€3.00m,-
21073,David Soria,27 Years,"Apr 4, 1993 ",Spain,Goalkeeper,Getafe CF,13,€18.00m,-
21074,Leandro Chichizola,30 Years,"Mar 27, 1990 ",Argentina,Goalkeeper,Getafe CF,1,€1.50m,-
21075,Filip Manojlovic,23 Years,"Apr 25, 1996 ",Serbia,Goalkeeper,Getafe CF,-,€300k,-
21076,Djené,28 Years,"Dec 31, 1991 ",Togo,Defender,Getafe CF,2,€30.00m,-
21077,Erick Cabaco,24 Years,"Apr 19, 1995 ",Uruguay,Defender,Getafe CF,4,€5.00m,-
21078,Xabi Etxeita,32 Years,"Oct 31, 1987 ",Spain,Defender,Getafe CF,16,€1.80m,-
21079,Chema,28 Years,"Mar 3, 1992 ",Spain,Defender,Getafe CF,6,€1.50m,-
21080,Vitorino Antunes,33 Years,"Apr 1, 1987 ",Portugal,Defender,Getafe CF,3,€2.00m,-
21081,Mathí­as Olivera,22 Years,"Oct 31, 1997 ",Uruguay,Defender,Getafe CF,17,€2.00m,-
21082,Allan Nyom,31 Years,"May 10, 1988 ",Cameroon,Defender,Getafe CF,12,€4.00m,-
21083,Damián Suárez,31 Years,"Apr 27, 1988 ",Uruguay,Defender,Getafe CF,22,€4.00m,-
21084,David Timor,30 Years,"Oct 17, 1989 ",Spain,Midfielder,Getafe CF,24,€2.00m,-
21085,Mauro Arambarri,24 Years,"Sep 30, 1995 ",Uruguay,Midfielder,Getafe CF,18,€25.00m,-
21086,Nemanja Maksimovic,25 Years,"Jan 26, 1995 ",Serbia,Midfielder,Getafe CF,20,€25.00m,-
21087,Oghenekaro Etebo,24 Years,"Nov 9, 1995 ",Nigeria,Midfielder,Getafe CF,5,€5.00m,-
21088,Fayçal Fajr,31 Years,"Aug 1, 1988 ",Morocco,Midfielder,Getafe CF,21,€4.00m,-
21089,Marc Cucurella,21 Years,"Jul 22, 1998 ",Spain,Midfielder,Getafe CF,15,€20.00m,-
21090,Kenedy,24 Years,"Feb 8, 1996 ",Brazil,Midfielder,Getafe CF,25,€12.00m,-
21091,Amath Ndiaye,23 Years,"Jul 16, 1996 ",Senegal,Forward,Getafe CF,11,€3.00m,-
21092,Jason,25 Years,"Jul 6, 1994 ",Spain,Forward,Getafe CF,23,€6.00m,-
21093,Francisco Portillo,29 Years,"Jun 13, 1990 ",Spain,Forward,Getafe CF,8,€3.50m,-
